,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Shrooms,Nicotine,Semer,VSA
462,18-24,Female,University degree,UK,White,39.0,34.0,53.0,48.0,48.0,0.19268,-0.21575,CL5,CL2,CL2,CL3,CL5,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL2,CL3,CL3,CL3,CL6,CL0,CL0
463,18-24,Female,Masters degree,UK,White,49.0,32.0,46.0,40.0,39.0,1.29221,0.7654,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
464,18-24,Female,University degree,UK,Asian,39.0,44.0,53.0,50.0,40.0,-0.71126,0.7654,CL0,CL2,CL0,CL2,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0,CL2,CL6,CL0,CL2
465,45-54,Male,University degree,UK,White,38.0,40.0,54.0,43.0,51.0,-0.21712,-0.21575,CL6,CL1,CL1,CL0,CL2,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
466,35-44,Male,University degree,UK,White,35.0,41.0,41.0,41.0,43.0,-1.37983,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
467,25-34,Male,University degree,UK,White,25.0,51.0,55.0,48.0,42.0,0.88113,1.2247,CL5,CL3,CL2,CL0,CL6,CL3,CL5,CL3,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2,CL6,CL0,CL0
468,45-54,Female,Left school at 16 years ,USA,White,59.0,28.0,36.0,53.0,26.0,-0.21712,0.07987,CL3,CL1,CL1,CL6,CL6,CL1,CL6,CL1,CL1,CL1,CL2,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0
469,18-24,Female,University degree,UK,White,37.0,45.0,48.0,42.0,47.0,-0.71126,-0.84637,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
470,18-24,Male,Masters degree,UK,Mixed-White/Black,27.0,55.0,53.0,50.0,55.0,-0.21712,0.40148,CL5,CL2,CL2,CL2,CL6,CL6,CL5,CL2,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL3,CL6,CL0,CL0
471,18-24,Female,Left school before 16 years,UK,White,39.0,40.0,45.0,51.0,42.0,0.19268,-0.21575,CL5,CL2,CL2,CL2,CL6,CL3,CL5,CL2,CL2,CL2,CL2,CL0,CL2,CL2,CL2,CL0,CL6,CL0,CL2
472,35-44,Female,"Some college or university, no certificate or degree",USA,White,49.0,40.0,43.0,38.0,38.0,0.88113,-0.21575,CL2,CL0,CL0,CL3,CL6,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL0
473,55-64,Female,University degree,UK,Mixed-White/Asian,33.0,46.0,47.0,42.0,45.0,-1.37983,-2.07848,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
474,45-54,Female,University degree,USA,White,25.0,46.0,43.0,48.0,48.0,-0.71126,-0.84637,CL3,CL1,CL0,CL0,CL6,CL6,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0
475,35-44,Male,University degree,UK,White,52.0,33.0,50.0,31.0,39.0,0.19268,-0.84637,CL6,CL0,CL0,CL0,CL6,CL2,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL3
476,35-44,Female,Professional certificate/ diploma,UK,White,50.0,35.0,41.0,35.0,32.0,1.29221,0.7654,CL6,CL0,CL1,CL6,CL6,CL2,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
477,25-34,Female,University degree,UK,White,40.0,45.0,44.0,49.0,46.0,-0.21712,0.07987,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
478,25-34,Female,Masters degree,Australia,White,40.0,37.0,55.0,52.0,44.0,0.19268,0.40148,CL6,CL0,CL0,CL2,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
479,18-24,Male,"Some college or university, no certificate or degree",USA,White,47.0,34.0,45.0,34.0,37.0,-1.37983,-0.84637,CL3,CL3,CL0,CL3,CL6,CL3,CL4,CL3,CL0,CL3,CL3,CL3,CL3,CL3,CL3,CL3,CL6,CL0,CL0
480,35-44,Female,University degree,Australia,White,46.0,41.0,48.0,42.0,46.0,0.19268,0.40148,CL6,CL2,CL1,CL6,CL6,CL3,CL5,CL2,CL0,CL2,CL1,CL1,CL0,CL1,CL2,CL1,CL6,CL0,CL0
481,35-44,Male,"Some college or university, no certificate or degree",UK,White,29.0,39.0,48.0,44.0,52.0,-0.71126,-0.21575,CL0,CL1,CL0,CL0,CL6,CL6,CL2,CL1,CL0,CL1,CL1,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL1
482,25-34,Female,University degree,UK,White,48.0,43.0,55.0,45.0,48.0,0.19268,-0.84637,CL2,CL0,CL2,CL2,CL5,CL6,CL5,CL0,CL0,CL4,CL0,CL3,CL2,CL0,CL0,CL3,CL3,CL0,CL0
483,35-44,Female,Left school at 16 years ,UK,White,30.0,46.0,42.0,48.0,40.0,-1.37983,-1.18084,CL4,CL1,CL1,CL0,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
484,45-54,Female,Left school at 16 years ,UK,White,31.0,42.0,35.0,50.0,36.0,-1.37983,-0.84637,CL6,CL0,CL1,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
485,25-34,Male,Left school at 18 years ,Other,White,50.0,28.0,53.0,38.0,31.0,-0.71126,-1.18084,CL5,CL5,CL0,CL2,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL5,CL0,CL1
486,35-44,Female,Left school at 18 years ,USA,White,53.0,27.0,54.0,36.0,44.0,0.19268,-0.52593,CL4,CL0,CL0,CL6,CL6,CL6,CL6,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
487,25-34,Male,Left school at 16 years ,UK,White,40.0,30.0,47.0,48.0,39.0,-0.21712,1.2247,CL6,CL3,CL2,CL2,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2
488,18-24,Male,Left school before 16 years,UK,White,54.0,30.0,48.0,30.0,29.0,-0.21712,0.07987,CL3,CL0,CL0,CL0,CL0,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0
489,18-24,Male,"Some college or university, no certificate or degree",UK,White,26.0,47.0,52.0,34.0,31.0,-0.71126,1.2247,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL3,CL0,CL4,CL0,CL3,CL4,CL4,CL0,CL4,CL5,CL0,CL0
490,45-54,Female,Professional certificate/ diploma,UK,White,42.0,45.0,49.0,41.0,36.0,1.29221,1.92173,CL5,CL1,CL1,CL1,CL6,CL6,CL5,CL1,CL1,CL1,CL1,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
491,18-24,Male,Left school at 18 years ,UK,White,27.0,43.0,49.0,47.0,42.0,0.19268,0.40148,CL6,CL2,CL2,CL0,CL5,CL6,CL4,CL3,CL0,CL4,CL0,CL2,CL3,CL0,CL0,CL3,CL4,CL0,CL2
492,18-24,Male,Professional certificate/ diploma,UK,White,41.0,36.0,52.0,43.0,44.0,0.88113,0.7654,CL5,CL0,CL4,CL4,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0
493,18-24,Male,"Some college or university, no certificate or degree",UK,White,43.0,28.0,52.0,35.0,29.0,-1.37983,-0.52593,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL5,CL0,CL3,CL3,CL4,CL0,CL4,CL6,CL0,CL0
494,18-24,Male,Professional certificate/ diploma,Other,Other,25.0,37.0,49.0,47.0,43.0,-1.37983,-0.21575,CL4,CL0,CL2,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
495,55-64,Male,"Some college or university, no certificate or degree",USA,White,28.0,41.0,50.0,47.0,48.0,-1.37983,-0.52593,CL3,CL1,CL0,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL3,CL1,CL4,CL0,CL6,CL0,CL0
496,25-34,Male,Masters degree,UK,White,36.0,48.0,60.0,39.0,42.0,-0.71126,0.07987,CL6,CL2,CL2,CL2,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL2,CL6,CL0,CL0
497,25-34,Male,Left school at 16 years ,Other,White,35.0,36.0,52.0,46.0,36.0,-0.21712,0.07987,CL4,CL1,CL1,CL0,CL6,CL6,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
498,55-64,Female,"Some college or university, no certificate or degree",UK,White,49.0,35.0,55.0,42.0,27.0,0.88113,1.2247,CL5,CL1,CL1,CL3,CL6,CL6,CL6,CL2,CL2,CL2,CL1,CL0,CL2,CL1,CL1,CL1,CL2,CL0,CL0
499,35-44,Female,Professional certificate/ diploma,Republic of Ireland,White,36.0,43.0,40.0,38.0,49.0,0.52975,0.7654,CL3,CL0,CL1,CL2,CL6,CL6,CL6,CL4,CL0,CL4,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL1
500,25-34,Female,Professional certificate/ diploma,UK,White,30.0,39.0,36.0,43.0,39.0,0.88113,-2.07848,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL1
501,18-24,Male,"Some college or university, no certificate or degree",USA,White,22.0,44.0,44.0,39.0,40.0,0.52975,0.7654,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL3,CL5,CL0,CL0
502,55-64,Female,Professional certificate/ diploma,Canada,White,36.0,38.0,44.0,38.0,46.0,1.29221,0.7654,CL1,CL0,CL1,CL4,CL5,CL5,CL4,CL1,CL1,CL0,CL0,CL0,CL6,CL1,CL4,CL1,CL1,CL0,CL1
503,35-44,Male,Left school at 16 years ,UK,White,35.0,40.0,44.0,43.0,45.0,-1.37983,-1.18084,CL1,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
504,45-54,Male,Professional certificate/ diploma,Other,White,40.0,43.0,48.0,36.0,33.0,0.88113,0.07987,CL3,CL1,CL0,CL3,CL6,CL2,CL6,CL2,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
505,35-44,Male,University degree,UK,White,31.0,44.0,52.0,38.0,46.0,0.19268,0.07987,CL4,CL2,CL3,CL1,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL1
506,25-34,Male,University degree,UK,White,37.0,38.0,39.0,34.0,42.0,0.19268,-0.52593,CL3,CL2,CL3,CL0,CL5,CL6,CL6,CL3,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL6,CL0,CL0
507,35-44,Male,Left school at 16 years ,UK,White,50.0,32.0,38.0,31.0,36.0,-0.71126,0.07987,CL5,CL2,CL2,CL3,CL5,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL0
508,35-44,Female,Masters degree,Other,White,26.0,47.0,44.0,45.0,43.0,-1.37983,-0.52593,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1
509,35-44,Male,University degree,UK,White,36.0,46.0,42.0,41.0,39.0,0.52975,-0.21575,CL5,CL2,CL2,CL0,CL6,CL5,CL5,CL2,CL1,CL2,CL0,CL1,CL0,CL1,CL0,CL1,CL5,CL0,CL0
510,45-54,Female,Masters degree,UK,White,40.0,43.0,45.0,42.0,44.0,-0.21712,-1.18084,CL5,CL1,CL1,CL1,CL6,CL5,CL6,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL1,CL0,CL5,CL0,CL0
511,18-24,Male,"Some college or university, no certificate or degree",UK,White,40.0,43.0,50.0,44.0,34.0,1.86203,0.40148,CL6,CL3,CL0,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL5,CL0,CL6,CL0,CL0
512,55-64,Male,Left school at 16 years ,USA,White,34.0,38.0,45.0,48.0,45.0,-0.21712,-0.21575,CL3,CL2,CL1,CL1,CL6,CL5,CL6,CL4,CL3,CL3,CL1,CL0,CL0,CL1,CL2,CL1,CL6,CL0,CL1
513,35-44,Male,Left school at 16 years ,UK,White,45.0,38.0,35.0,40.0,40.0,-0.21712,-0.21575,CL6,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
514,18-24,Female,Left school at 17 years,USA,White,23.0,52.0,49.0,44.0,44.0,0.88113,1.92173,CL5,CL3,CL0,CL5,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL4,CL3,CL6,CL0,CL2
515,35-44,Female,Left school at 16 years ,UK,White,34.0,41.0,41.0,32.0,44.0,-0.21712,-0.52593,CL6,CL2,CL2,CL2,CL6,CL2,CL6,CL2,CL2,CL1,CL2,CL1,CL0,CL0,CL2,CL2,CL6,CL0,CL1
516,25-34,Female,Masters degree,UK,White,39.0,39.0,48.0,40.0,48.0,-0.71126,-0.21575,CL2,CL0,CL2,CL3,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
517,25-34,Male,Professional certificate/ diploma,Other,White,41.0,36.0,47.0,42.0,36.0,0.52975,1.2247,CL2,CL3,CL2,CL6,CL6,CL6,CL6,CL3,CL0,CL3,CL3,CL0,CL0,CL2,CL2,CL0,CL6,CL0,CL1
518,25-34,Male,Masters degree,UK,White,34.0,42.0,37.0,50.0,53.0,0.52975,1.2247,CL5,CL2,CL2,CL4,CL5,CL3,CL5,CL2,CL2,CL3,CL2,CL2,CL0,CL0,CL0,CL0,CL5,CL0,CL2
519,35-44,Female,University degree,UK,White,38.0,38.0,39.0,38.0,48.0,-1.37983,-2.07848,CL5,CL0,CL2,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
520,45-54,Female,Left school at 16 years ,Australia,White,42.0,38.0,40.0,40.0,43.0,-0.71126,-1.18084,CL3,CL0,CL0,CL6,CL5,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
521,18-24,Male,"Some college or university, no certificate or degree",USA,White,36.0,42.0,46.0,34.0,41.0,0.52975,0.07987,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL3,CL6,CL0,CL0
522,18-24,Male,"Some college or university, no certificate or degree",UK,White,33.0,43.0,45.0,38.0,32.0,0.19268,0.07987,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL6,CL0,CL0
523,35-44,Female,Left school before 16 years,UK,White,37.0,34.0,33.0,44.0,45.0,-1.37983,-2.07848,CL2,CL2,CL2,CL2,CL6,CL2,CL5,CL2,CL2,CL2,CL2,CL0,CL0,CL1,CL2,CL0,CL3,CL0,CL1
524,45-54,Female,University degree,Australia,White,29.0,44.0,53.0,55.0,56.0,0.19268,0.07987,CL5,CL1,CL1,CL6,CL0,CL6,CL3,CL1,CL1,CL1,CL0,CL0,CL0,CL3,CL6,CL1,CL0,CL0,CL1
525,55-64,Male,Left school at 18 years ,UK,White,20.0,43.0,38.0,43.0,45.0,-0.71126,-0.52593,CL6,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
526,18-24,Male,Professional certificate/ diploma,UK,White,45.0,30.0,44.0,30.0,31.0,0.88113,0.07987,CL4,CL0,CL2,CL0,CL4,CL5,CL5,CL4,CL0,CL3,CL0,CL0,CL2,CL0,CL3,CL0,CL4,CL0,CL0
527,35-44,Male,Doctorate degree,UK,White,42.0,39.0,45.0,47.0,29.0,0.52975,-0.21575,CL6,CL0,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
528,25-34,Female,Professional certificate/ diploma,UK,White,43.0,47.0,46.0,43.0,42.0,-0.21712,1.2247,CL5,CL2,CL2,CL1,CL6,CL3,CL6,CL5,CL0,CL2,CL0,CL1,CL0,CL1,CL0,CL2,CL5,CL0,CL1
529,55-64,Male,University degree,UK,White,45.0,40.0,50.0,30.0,46.0,-0.21712,-1.18084,CL5,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
530,45-54,Male,University degree,UK,White,46.0,29.0,41.0,45.0,35.0,-0.21712,0.7654,CL5,CL2,CL1,CL2,CL6,CL6,CL5,CL3,CL3,CL2,CL1,CL0,CL0,CL2,CL2,CL2,CL6,CL0,CL1
531,18-24,Female,University degree,UK,White,33.0,41.0,41.0,53.0,49.0,0.19268,-1.18084,CL4,CL0,CL0,CL2,CL5,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
532,25-34,Male,Masters degree,UK,White,32.0,39.0,41.0,32.0,37.0,0.52975,0.07987,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
533,35-44,Female,Masters degree,UK,White,20.0,54.0,43.0,52.0,51.0,0.19268,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
534,25-34,Female,University degree,USA,White,45.0,40.0,52.0,29.0,38.0,0.19268,-0.21575,CL5,CL4,CL0,CL6,CL6,CL2,CL4,CL6,CL0,CL2,CL3,CL2,CL0,CL2,CL3,CL2,CL6,CL0,CL1
535,18-24,Female,University degree,UK,White,49.0,45.0,39.0,49.0,37.0,0.52975,0.07987,CL6,CL0,CL3,CL0,CL5,CL4,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL0,CL0
536,45-54,Female,"Some college or university, no certificate or degree",UK,Asian,43.0,38.0,37.0,48.0,35.0,-1.37983,-1.54858,CL0,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
537,35-44,Female,University degree,UK,White,47.0,38.0,46.0,47.0,46.0,0.19268,0.40148,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
538,45-54,Male,Masters degree,UK,White,24.0,48.0,45.0,47.0,53.0,-2.55524,-1.18084,CL6,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
539,45-54,Female,University degree,UK,White,26.0,42.0,45.0,37.0,43.0,-1.37983,-1.54858,CL5,CL0,CL0,CL2,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
540,45-54,Female,University degree,Other,Black,38.0,45.0,46.0,48.0,45.0,0.19268,0.07987,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
541,35-44,Male,Left school at 17 years,UK,White,43.0,45.0,52.0,35.0,34.0,0.19268,1.2247,CL6,CL1,CL1,CL5,CL6,CL5,CL5,CL2,CL0,CL2,CL1,CL2,CL4,CL1,CL0,CL1,CL6,CL0,CL1
542,25-34,Female,University degree,UK,White,44.0,44.0,39.0,38.0,44.0,-0.21712,-0.21575,CL6,CL0,CL0,CL0,CL5,CL0,CL5,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
543,18-24,Female,Left school at 16 years ,UK,White,48.0,36.0,41.0,38.0,34.0,1.29221,-0.21575,CL5,CL0,CL2,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
544,35-44,Female,Professional certificate/ diploma,UK,White,51.0,41.0,43.0,47.0,36.0,-0.71126,-0.21575,CL5,CL0,CL0,CL2,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
545,45-54,Female,"Some college or university, no certificate or degree",USA,White,27.0,37.0,52.0,59.0,42.0,-1.37983,-1.18084,CL2,CL2,CL0,CL2,CL6,CL2,CL6,CL2,CL2,CL0,CL0,CL0,CL0,CL1,CL2,CL0,CL6,CL0,CL0
546,25-34,Female,Masters degree,UK,White,20.0,35.0,39.0,40.0,54.0,-1.37983,-0.84637,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
547,18-24,Male,University degree,UK,White,48.0,37.0,47.0,44.0,28.0,0.52975,-1.18084,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
548,25-34,Female,Masters degree,Other,White,25.0,47.0,47.0,39.0,41.0,-0.21712,-0.84637,CL4,CL0,CL0,CL0,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
549,18-24,Female,University degree,UK,White,34.0,37.0,36.0,48.0,50.0,-1.37983,-0.52593,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
550,35-44,Female,Masters degree,UK,White,28.0,48.0,47.0,36.0,49.0,-0.21712,1.2247,CL4,CL2,CL1,CL0,CL6,CL4,CL5,CL3,CL0,CL3,CL0,CL3,CL3,CL3,CL0,CL3,CL3,CL0,CL0
551,18-24,Female,Masters degree,UK,White,52.0,29.0,45.0,48.0,44.0,-0.21712,-1.18084,CL2,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
552,25-34,Female,Masters degree,Other,Mixed-White/Black,46.0,26.0,43.0,43.0,45.0,-0.71126,-2.07848,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
553,25-34,Female,Doctorate degree,UK,White,42.0,43.0,43.0,43.0,50.0,0.52975,0.07987,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
554,45-54,Female,Masters degree,UK,White,38.0,33.0,38.0,43.0,48.0,-0.71126,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
555,18-24,Female,University degree,UK,White,34.0,38.0,48.0,42.0,44.0,-1.37983,-0.52593,CL6,CL2,CL2,CL0,CL6,CL2,CL4,CL0,CL0,CL3,CL0,CL2,CL3,CL0,CL0,CL2,CL2,CL0,CL0
556,25-34,Female,University degree,UK,White,21.0,46.0,45.0,52.0,50.0,-0.71126,-0.21575,CL4,CL0,CL0,CL0,CL5,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
557,18-24,Female,University degree,UK,White,31.0,39.0,42.0,49.0,41.0,1.29221,1.2247,CL5,CL2,CL2,CL0,CL6,CL2,CL3,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
558,45-54,Female,University degree,UK,White,28.0,40.0,49.0,45.0,49.0,0.19268,-0.52593,CL6,CL1,CL1,CL0,CL6,CL1,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL0
559,18-24,Female,University degree,UK,White,46.0,41.0,41.0,45.0,45.0,-0.71126,-0.52593,CL6,CL0,CL0,CL0,CL6,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
560,35-44,Female,University degree,UK,White,42.0,44.0,49.0,36.0,47.0,-0.21712,-0.21575,CL5,CL1,CL0,CL3,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL3,CL0,CL0
561,35-44,Female,Masters degree,UK,Other,58.0,43.0,35.0,41.0,51.0,-0.21712,-0.84637,CL6,CL0,CL1,CL1,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
562,25-34,Female,Masters degree,UK,White,44.0,42.0,42.0,31.0,40.0,0.19268,0.07987,CL5,CL0,CL3,CL2,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
563,45-54,Female,"Some college or university, no certificate or degree",UK,White,31.0,37.0,46.0,44.0,39.0,1.86203,-0.84637,CL2,CL6,CL0,CL0,CL6,CL3,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL1
564,45-54,Female,Masters degree,UK,White,39.0,34.0,47.0,47.0,36.0,-0.71126,-0.84637,CL5,CL0,CL0,CL1,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
565,18-24,Female,University degree,UK,White,45.0,47.0,39.0,49.0,46.0,-1.37983,-1.18084,CL5,CL2,CL2,CL2,CL5,CL4,CL6,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
566,18-24,Male,University degree,UK,White,53.0,44.0,54.0,37.0,38.0,-0.21712,0.07987,CL6,CL0,CL2,CL0,CL6,CL3,CL6,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL6,CL0,CL0
567,35-44,Male,Masters degree,UK,White,46.0,34.0,45.0,41.0,42.0,-0.21712,-0.21575,CL1,CL0,CL0,CL0,CL1,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
